Title,Attachments,Author,Category,Collection,Due,Ownership,Status,Transcribed,URL,Unfinished
Kafka On The Shore,,Haruki Murakami,Fiction,No,,OWNED: Singapore,To Read: Fiction,No,,No
Fates and Furies,,Lauren Groff,Fiction,No,,OWNED: Singapore,To Read: Fiction,No,,No
Indiscretion,,Charles Dubow,Fiction,No,,OWNED: Singapore,To Read: Fiction,No,,No
Mrs. Dalloway,,Virginia Woolf,Fiction,No,,OWNED: Singapore,To Read: Fiction,No,,No
On The Road: The Original Scrolls,,Jack Kerouac,Fiction,No,,OWNED: Philippines,To Read: Fiction,No,,No
The Town And The City,,Jack Kerouac,Fiction,No,,OWNED: Singapore,To Read: Fiction,No,,No
Desolation Angels,,Jack Kerouac,Fiction,No,,OWNED: Philippines,To Read: Fiction,No,,No
Visions of Cody,,Jack Kerouac,Fiction,No,,OWNED: Philippines,To Read: Fiction,No,,No
The Subterraneans,,Jack Kerouac,Fiction,No,,OWNED: Philippines,To Read: Fiction,No,,No
Dune,,Frank Herbert,Fiction,No,,KINDLE,To Read: Fiction,No,,No
Go Set A Watchman,,Harper Lee,Fiction,No,,OWNED: Singapore,To Read: Fiction,No,,No
The Japanese Lover,,Isabel Allende,Fiction,No,,OWNED: Singapore,To Read: Fiction,No,,No
Strong Motion,,Jonathan Franzen,Fiction,No,,OWNED: Singapore,To Read: Fiction,No,,No
Lucky Alan and Other Stories,,Jonathan Lethem,Fiction,Yes,,OWNED: Singapore,To Read: Fiction,No,,No
Americanah,,Chimamanda Ngozi Adichie,Fiction,No,,OWNED: Singapore,To Read: Fiction,No,,No
The View From The Cheap Seats,,Neil Gaiman,Fiction,Yes,,OWNED: Singapore,To Read: Fiction,No,,No
Behold The Dreamers,,Imbolo Mbue,Fiction,No,,OWNED: Singapore,To Read: Fiction,No,,No
"At Swim, Two Boys",,Jamie O’Neill,Fiction,No,,KINDLE,To Read: Fiction,No,,No
How to Think Like Leonardo da Vinci: Seven Steps to Genius Every Day: Michael J. Gelb: 9780440508274: Amazon.com: Books,"https://www.amazon.com/How-Think-Like-Leonardo-Vinci/dp/0440508274/ref=as_li_ss_tl?ref_=nav_signin&linkCode=sl1&tag=lrc1981-20&linkId=d220b092224781586868d32ebd6d0590, Reading%20List/61qC1zLeHIL.jpg",,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
"Willpower: Rediscovering the Greatest Human Strength: Roy F. Baumeister, John Tierney: 9780143122234: Amazon.com: Books","https://www.amazon.com/Willpower-Rediscovering-Greatest-Human-Strength/dp/0143122231, Reading%20List/41XQCEypmOL.jpg",,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
The Righteous Mind: Why Good People Are Divided by Politics and Religion: Jonathan Haidt: 9780307455772: Amazon.com: Books,"https://www.amazon.com/Righteous-Mind-Divided-Politics-Religion/dp/0307455777?ascsubtag=8eba97974fb296d8cbf43b04a80c97a907fa733a&tag=lifehackeramzn-20, Reading%20List/51wWy6w1kYL.jpg",,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
Handmade: Creative Focus in the Age of Distraction: Gary Rogowski: 9781610353144: Amazon.com: Books,"https://www.amazon.com/Handmade-Creative-Focus-Age-Distraction/dp/1610353145, https://www.amazon.com/Handmade-Creative-Focus-Age-Distraction/dp/1610353145#mediaMatrix_secondary_view_div_1560152509756",,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
Amazon.com: Body of Work: Finding the Thread That Ties Your Story Together (9781591846192): Pamela Slim: Books,https://www.amazon.com/Body-Work-Finding-Thread-Together/dp/1591846196,,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
Amazon.com: The Design of Everyday Things: Revised and Expanded Edition eBook: Don Norman: Kindle Store,"https://www.amazon.com/Design-Everyday-Things-Revised-Expanded-ebook/dp/B06XCCZJ4L/ref=cm_cr_arp_d_product_top?ie=UTF8, Reading%20List/416Hql52NCL.jpg",,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
"Make Time: How to Focus on What Matters Every Day: Jake Knapp, John Zeratsky: 9780525572428: Amazon.com: Books",,,,No,,,To Acquire: Non-Fiction,No,https://www.amazon.com/Make-Time-Focus-Matters-Every/dp/0525572422,No
"Amazon.com: The Person You Mean to Be: How Good People Fight Bias eBook: Dolly Chugh, Laszlo Bock: Kindle Store","https://www.amazon.com/Person-You-Mean-Be-People-ebook/dp/B0756F5CHD?ascsubtag=1a13e162139e8255c4bf7f2f84a4e0e9db5364e5&tag=lifehackeramzn-20, Reading%20List/51FVvfZ3f7L.jpg",,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
"Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger, Expanded Third Edition: Peter D. Kaufman, Ed Wexler, Warren E. Buffett, Charles T. Munger: 9781578645015: Amazon.com: Books",,,,No,,,To Acquire: Non-Fiction,No,,No
From Third World to First: The Singapore Story - 1965-2000: Lee Kuan Yew: 9780060197766: Amazon.com: Books,https://www.amazon.com/Third-World-First-Singapore-1965-2000/dp/0060197765/,,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
"Age of Ambition: Chasing Fortune, Truth, and Faith in the New China",,Evan Osnos,Non-Fiction,No,,KINDLE,Finished: 2019,No,,No
Deep Work: Rules for Focused Success in a Distracted World,"https://www.amazon.com/gp/product/1455586692/ref=dbs_a_def_rwt_bibl_vppi_i1, Reading%20List/51kzUUHhMTL.jpg",Cal Newport,Non-Fiction,No,,KINDLE,Finished: 2019,No,,No
Conversations With Friends,,Sally Rooney,Fiction,No,,OWNED: Singapore,Finished: 2019,Yes,,No
Ball Lightning,,Cixin Liu,Fiction,No,,OWNED: Singapore,Finished: 2018,Yes,,No
The Sellout,,Paul Beatty,Fiction,No,,OWNED: Philippines,Finished: 2016,No,,No
Bleeding Edge,,Thomas Pynchon,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,Yes,,No
I'll Give You The Sun,,Jandy Nelson,Young Adult,No,,OWNED: Philippines,Finished: 2016,No,,No
After Dark,,Haruki Murakami,Fiction,No,,BORROWED,Finished: 2000-2014,No,,No
Moonglow,,Michael Chabon,Fiction,No,,OWNED: Philippines,Finished: 2016,No,,No
Educated: A Memoir,,Tara Westover,Non-Fiction,No,,KINDLE,Finished: 2018,No,,No
Blindness,,Jose Saramago,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,Yes,,No
